folder,file1,file2,label,dataset,tfidf_similarity,astcc_similarity,tfidf_prediction,astcc_prediction,tfidf_correct,astcc_correct,both_correct,both_wrong
c06_orig_np11,original.java,compared.java,0,ir_plag,0.6793733687901707,0.4864864864864865,1,1,False,False,False,True
0e68e463_29cf2e70,0e68e463.java,29cf2e70.java,0,conplag,0.24029373455384037,0.40226628895184136,0,0,True,True,True,False
28c2d81a_48c5f745,28c2d81a.java,48c5f745.java,1,conplag,0.573790034900112,0.4294117647058823,1,0,True,False,False,False
1013b392_5a340556,1013b392.java,5a340556.java,1,conplag,0.9975986728512447,0.5751748251748252,1,1,True,True,True,False
3d06b643_f6ca6fc8,3d06b643.java,f6ca6fc8.java,1,conplag,0.654294541880761,0.47668393782383417,1,1,True,True,True,False
c01_orig_L1v06,original.java,compared.java,1,ir_plag,0.9741139206526898,0.75,1,1,True,True,True,False
90d0ffd0_b21c7532,90d0ffd0.java,b21c7532.java,0,conplag,0.4544947713593986,0.20763358778625954,1,0,False,True,False,False
086f0f90_4a570de6,086f0f90.java,4a570de6.java,0,conplag,0.4971913447306883,0.4411764705882353,1,0,False,True,False,False
c48673a6_ebed1250,c48673a6.java,ebed1250.java,0,conplag,0.4551996826392252,0.3352601156069364,1,0,False,True,False,False
c06_orig_np02,original.java,compared.java,0,ir_plag,0.691400270007528,0.4864864864864865,1,1,False,False,False,True
c06_orig_L4v08,original.java,compared.java,1,ir_plag,0.6119013230115375,0.5128205128205128,1,1,True,True,True,False
a3e272af_d1cd194e,a3e272af.java,d1cd194e.java,0,conplag,0.39632520402010807,0.4,0,0,True,True,True,False
1469697d_69c86b61,1469697d.java,69c86b61.java,1,conplag,1.0000000000000029,0.5780141843971631,1,1,True,True,True,False
c07_orig_np11,original.java,compared.java,0,ir_plag,0.6120364399408069,0.33519553072625696,1,0,False,True,False,False
56a90e79_b505f95e,56a90e79.java,b505f95e.java,0,conplag,0.5362583955110412,0.38461538461538464,1,0,False,True,False,False
c03_orig_L6v03,original.java,compared.java,1,ir_plag,0.754887801889116,0.37362637362637363,1,0,True,False,False,False
6f037b1d_ef1117e3,6f037b1d.java,ef1117e3.java,0,conplag,0.5762854470434021,0.4118895966029724,1,0,False,True,False,False
c06_orig_L1v02,original.java,compared.java,1,ir_plag,0.9605919017008309,0.6491228070175439,1,1,True,True,True,False
16857116_f3d7ce08,16857116.java,f3d7ce08.java,1,conplag,0.9764375061552965,0.47337278106508873,1,1,True,True,True,False
0951d079_b2bae06a,0951d079.java,b2bae06a.java,0,conplag,0.32854393984338676,0.4469525959367946,0,0,True,True,True,False
c07_orig_L6v02,original.java,compared.java,1,ir_plag,0.5734687296670198,0.34375,1,0,True,False,False,False
c01_orig_np09,original.java,compared.java,0,ir_plag,0.409339099005673,0.2564102564102564,0,0,True,True,True,False
c03_orig_L6v01,original.java,compared.java,1,ir_plag,0.44981040477770734,0.2955665024630542,0,0,False,False,False,True
12c1cc56_c06c758d,12c1cc56.java,c06c758d.java,1,conplag,0.9999999999999764,0.5664739884393064,1,1,True,True,True,False
ae716b8f_f1a42a42,ae716b8f.java,f1a42a42.java,0,conplag,0.2645350860389341,0.339572192513369,0,0,True,True,True,False
c03_orig_np10,original.java,compared.java,0,ir_plag,0.7678611557817397,0.4772727272727273,1,1,False,False,False,True
1be078c4_bb0949b3,1be078c4.java,bb0949b3.java,0,conplag,0.7046284728328547,0.4258373205741627,1,0,False,True,False,False
4e9c4bf9_f9e08a46,4e9c4bf9.java,f9e08a46.java,0,conplag,0.6065166116079511,0.428169014084507,1,0,False,True,False,False
c07_orig_L1v08,original.java,compared.java,1,ir_plag,0.9784451212852044,0.47953216374269003,1,1,True,True,True,False
cc9230d3_ec558d69,cc9230d3.java,ec558d69.java,1,conplag,0.44273879862975,0.47761194029850745,0,1,False,True,False,False
c02_orig_L6v01,original.java,compared.java,1,ir_plag,0.39677651747239995,0.2857142857142857,0,0,False,False,False,True
c02_orig_L5v02,original.java,compared.java,1,ir_plag,0.4972873235604743,0.23622047244094488,1,0,True,False,False,False
99ccaa44_e7a997b5,99ccaa44.java,e7a997b5.java,0,conplag,0.33315861556860066,0.3683409436834094,0,0,True,True,True,False
29d865c3_5cfa2861,29d865c3.java,5cfa2861.java,0,conplag,0.23959711588924362,0.2007042253521127,0,0,True,True,True,False
3b5cec19_8f31b279,3b5cec19.java,8f31b279.java,1,conplag,0.6781685311603316,0.5165562913907285,1,1,True,True,True,False
3d06b643_6bcc5afd,3d06b643.java,6bcc5afd.java,1,conplag,0.6658291492654583,0.4296675191815857,1,0,True,False,False,False
c05_orig_L4v09,original.java,compared.java,1,ir_plag,0.6248553771973133,0.38,1,0,True,False,False,False
c03_orig_L6v06,original.java,compared.java,1,ir_plag,0.5643683790753891,0.3645320197044335,1,0,True,False,False,False
2fdcf0ad_d20e861b,2fdcf0ad.java,d20e861b.java,0,conplag,0.23176839684465297,0.3588553750966744,0,0,True,True,True,False
8e990c75_96b3758b,8e990c75.java,96b3758b.java,0,conplag,0.26669090115885147,0.33482142857142855,0,0,True,True,True,False
c07_orig_L5v07,original.java,compared.java,1,ir_plag,0.7129685967008619,0.4,1,0,True,False,False,False
1097b326_a60fba84,1097b326.java,a60fba84.java,0,conplag,0.3460224773644733,0.39086294416243655,0,0,True,True,True,False
392218ef_f0ede32a,392218ef.java,f0ede32a.java,0,conplag,0.5779840789268357,0.36787564766839376,1,0,False,True,False,False
c04_orig_L5v01,original.java,compared.java,1,ir_plag,0.43552217568435503,0.43243243243243246,0,0,False,False,False,True
c04_orig_L3v01,original.java,compared.java,1,ir_plag,0.4856870579967936,0.5151515151515151,1,1,True,True,True,False
c04_orig_L6v08,original.java,compared.java,1,ir_plag,0.48269920526534843,0.2891566265060241,1,0,True,False,False,False
31f29772_ac180326,31f29772.java,ac180326.java,0,conplag,0.5470147433900507,0.3548387096774194,1,0,False,True,False,False
c03_orig_L3v06,original.java,compared.java,1,ir_plag,0.888114458574287,0.35294117647058826,1,0,True,False,False,False
c03_orig_L3v05,original.java,compared.java,1,ir_plag,0.6539885226008898,0.3687150837988827,1,0,True,False,False,False
9862c742_cf27732e,9862c742.java,cf27732e.java,0,conplag,0.5377274823382833,0.3869346733668342,1,0,False,True,False,False
c03_orig_np07,original.java,compared.java,0,ir_plag,0.8381087530412125,0.4666666666666667,1,1,False,False,False,True
47d54299_63bfa731,47d54299.java,63bfa731.java,1,conplag,0.5220783018006389,0.45794392523364486,1,1,True,True,True,False
930dd1f1_f4b87cc2,930dd1f1.java,f4b87cc2.java,0,conplag,0.5431343026487446,0.3901689708141321,1,0,False,True,False,False
99bc7da3_b3638571,99bc7da3.java,b3638571.java,0,conplag,0.18917378634293916,0.32608695652173914,0,0,True,True,True,False
04ed33a5_6b83b22e,04ed33a5.java,6b83b22e.java,1,conplag,0.9999999999999998,0.6271186440677966,1,1,True,True,True,False
03b3c5af_d74028ea,03b3c5af.java,d74028ea.java,0,conplag,0.4170780545321977,0.35942028985507246,0,0,True,True,True,False
7de69858_b76bce8a,7de69858.java,b76bce8a.java,0,conplag,0.4720517479606092,0.40641711229946526,1,0,False,True,False,False
e2fe9d7d_ece1820d,e2fe9d7d.java,ece1820d.java,0,conplag,0.4470877853394018,0.35968379446640314,0,0,True,True,True,False
67996c4c_7bc92b7f,67996c4c.java,7bc92b7f.java,0,conplag,0.6305652358701666,0.3893805309734513,1,0,False,True,False,False
1dab88fb_bac616ee,1dab88fb.java,bac616ee.java,0,conplag,0.551427334487104,0.3900709219858156,1,0,False,True,False,False
c07_orig_L4v06,original.java,compared.java,1,ir_plag,0.5086232964453341,0.41420118343195267,1,0,True,False,False,False
4138b081_f59d9b6e,4138b081.java,f59d9b6e.java,0,conplag,0.493055811052702,0.35447761194029853,1,0,False,True,False,False
c03_orig_L2v02,original.java,compared.java,1,ir_plag,0.7498166402180303,0.5714285714285714,1,1,True,True,True,False
6e7cd58b_cfba313d,6e7cd58b.java,cfba313d.java,1,conplag,0.5389025643087373,0.3886792452830189,1,0,True,False,False,False
c05_orig_L2v01,original.java,compared.java,1,ir_plag,0.4388221067433485,0.64,0,1,False,True,False,False
7f42483d_c9a316ca,7f42483d.java,c9a316ca.java,0,conplag,0.3596707888485766,0.3639344262295082,0,0,True,True,True,False
0c9d4def_d3415fc5,0c9d4def.java,d3415fc5.java,0,conplag,0.3873301415823575,0.2710526315789474,0,0,True,True,True,False
c05_orig_L3v04,original.java,compared.java,1,ir_plag,0.9394849506616609,0.64,1,1,True,True,True,False
34cd5b66_d6af96bd,34cd5b66.java,d6af96bd.java,0,conplag,0.2929507170224274,0.29279451010293556,0,0,True,True,True,False
49e94e7e_d7a8434f,49e94e7e.java,d7a8434f.java,0,conplag,0.34197332764954996,0.391644908616188,0,0,True,True,True,False
0c9d4def_ef1d196b,0c9d4def.java,ef1d196b.java,0,conplag,0.33783820304436085,0.24761904761904763,0,0,True,True,True,False
29cb9b0e_c77654b8,29cb9b0e.java,c77654b8.java,0,conplag,0.296008057204207,0.4064665127020785,0,0,True,True,True,False
c01_orig_L6v03,original.java,compared.java,1,ir_plag,0.37469880158248137,0.23809523809523808,0,0,False,False,False,True
0048a372_0adb1ee5,0048a372.java,0adb1ee5.java,0,conplag,0.5248921617537249,0.3967280163599182,1,0,False,True,False,False
ac7187d8_b7a6c59c,ac7187d8.java,b7a6c59c.java,0,conplag,0.3613201028636328,0.40860215053763443,0,0,True,True,True,False
6f393cfe_7a9c69d8,6f393cfe.java,7a9c69d8.java,1,conplag,0.9999999999999968,0.5639810426540285,1,1,True,True,True,False
24afd00e_424c930b,24afd00e.java,424c930b.java,0,conplag,0.3957115038409278,0.3816793893129771,0,0,True,True,True,False
1097b326_f1f600d9,1097b326.java,f1f600d9.java,0,conplag,0.3438808082598286,0.3341404358353511,0,0,True,True,True,False
c02_orig_L1v05,original.java,compared.java,1,ir_plag,0.9629453832420187,0.574468085106383,1,1,True,True,True,False
2e404969_597195ee,2e404969.java,597195ee.java,0,conplag,0.3630080644801136,0.4177777777777778,0,0,True,True,True,False
26e699de_76ad805a,26e699de.java,76ad805a.java,0,conplag,0.386304537226248,0.3483483483483483,0,0,True,True,True,False
c07_orig_np12,original.java,compared.java,0,ir_plag,0.6630515846509254,0.39080459770114945,1,0,False,True,False,False
22dff786_624529e3,22dff786.java,624529e3.java,0,conplag,0.3917937458496243,0.4,0,0,True,True,True,False
c01_orig_np08,original.java,compared.java,0,ir_plag,0.409339099005673,0.2564102564102564,0,0,True,True,True,False
0df4050e_f5fde094,0df4050e.java,f5fde094.java,0,conplag,0.4485390054218581,0.34274193548387094,0,0,True,True,True,False
c05_orig_L6v04,original.java,compared.java,1,ir_plag,0.7545224322090203,0.4166666666666667,1,0,True,False,False,False
3c74c140_732c98a0,3c74c140.java,732c98a0.java,1,conplag,0.8453607747585704,0.47411444141689374,1,1,True,True,True,False
c03_orig_L2v06,original.java,compared.java,1,ir_plag,0.720613484197751,0.4883720930232558,1,1,True,True,True,False
80e6c4db_f22a4243,80e6c4db.java,f22a4243.java,0,conplag,0.3264770913561032,0.34782608695652173,0,0,True,True,True,False
c57997b6_ff10b574,c57997b6.java,ff10b574.java,0,conplag,0.47643251954552024,0.3894230769230769,1,0,False,True,False,False
c01_orig_L1v03,original.java,compared.java,1,ir_plag,0.9752073906333683,0.75,1,1,True,True,True,False
9c55bc1b_c9da41af,9c55bc1b.java,c9da41af.java,0,conplag,0.5484422113924001,0.39184952978056425,1,0,False,True,False,False
c07_orig_L6v04,original.java,compared.java,1,ir_plag,0.4043389698176784,0.39106145251396646,0,0,False,False,False,True
53551ea0_6be98ece,53551ea0.java,6be98ece.java,0,conplag,0.43043825516091755,0.4507042253521127,0,1,True,False,False,False
0ea5a836_3c74c140,0ea5a836.java,3c74c140.java,0,conplag,0.6481013627349613,0.33488372093023255,1,0,False,True,False,False
cdb801a1_dcdaf666,cdb801a1.java,dcdaf666.java,0,conplag,0.511421439706864,0.35079726651480636,1,0,False,True,False,False
4ea10951_66e74577,4ea10951.java,66e74577.java,0,conplag,0.43698195691794356,0.35023041474654376,0,0,True,True,True,False
00af3420_86102d81,00af3420.java,86102d81.java,0,conplag,0.55646383317485,0.40476190476190477,1,0,False,True,False,False
4499e3b9_cbbbed5f,4499e3b9.java,cbbbed5f.java,0,conplag,0.49399194810317887,0.4444444444444444,1,0,False,True,False,False
6f393cfe_d3a0b8d2,6f393cfe.java,d3a0b8d2.java,0,conplag,0.5325288117819051,0.37244897959183676,1,0,False,True,False,False
4fb09c5f_c57a973e,4fb09c5f.java,c57a973e.java,0,conplag,0.5976615444165224,0.32245681381957775,1,0,False,True,False,False
0b04b41e_4da08761,0b04b41e.java,4da08761.java,0,conplag,0.5268693167596645,0.3380281690140845,1,0,False,True,False,False
3cbcb1cc_6045e5d1,3cbcb1cc.java,6045e5d1.java,1,conplag,1.000000000000002,0.5991561181434599,1,1,True,True,True,False
36f1b52a_558df7d4,36f1b52a.java,558df7d4.java,1,conplag,0.38024608754907535,0.501779359430605,0,1,False,True,False,False
a8f7c8b7_f229aa7f,a8f7c8b7.java,f229aa7f.java,0,conplag,0.39866856800679346,0.4,0,0,True,True,True,False
3c667d4f_a7894e0b,3c667d4f.java,a7894e0b.java,1,conplag,0.5337550586251812,0.48044692737430167,1,1,True,True,True,False
c06_orig_np07,original.java,compared.java,0,ir_plag,0.6724815218878484,0.48695652173913045,1,1,False,False,False,True
4f7af821_8f6421f3,4f7af821.java,8f6421f3.java,1,conplag,0.5496994958510637,0.4502923976608187,1,1,True,True,True,False
41e69083_54eb1a6b,41e69083.java,54eb1a6b.java,1,conplag,1.0000000000000009,0.578125,1,1,True,True,True,False
a368f345_e5d02e93,a368f345.java,e5d02e93.java,0,conplag,0.4211034507631025,0.3047945205479452,0,0,True,True,True,False
ee270b2a_fc80cbe0,ee270b2a.java,fc80cbe0.java,0,conplag,0.38051056432016606,0.32162661737523107,0,0,True,True,True,False
c04_orig_np10,original.java,compared.java,0,ir_plag,0.36455284333262744,0.3728813559322034,0,0,True,True,True,False
04ed33a5_0c173033,04ed33a5.java,0c173033.java,1,conplag,0.7017727596055975,0.3705103969754253,1,0,True,False,False,False
05f939b3_e647bef7,05f939b3.java,e647bef7.java,0,conplag,0.4522802939779014,0.32894736842105265,1,0,False,True,False,False
0ecf356d_b2bae06a,0ecf356d.java,b2bae06a.java,0,conplag,0.3733915299085389,0.4423963133640553,0,0,True,True,True,False
f229aa7f_fcc7e8fa,f229aa7f.java,fcc7e8fa.java,0,conplag,0.2739567086407697,0.3507692307692308,0,0,True,True,True,False
8aadde13_fb20d298,8aadde13.java,fb20d298.java,1,conplag,0.33847142251255924,0.45569620253164556,0,1,False,True,False,False
e431de28_eb6cfca7,e431de28.java,eb6cfca7.java,0,conplag,0.3974786631951765,0.391304347826087,0,0,True,True,True,False
12c1cc56_7b71234c,12c1cc56.java,7b71234c.java,1,conplag,0.9999999999999764,0.5664739884393064,1,1,True,True,True,False
c02_orig_L4v04,original.java,compared.java,1,ir_plag,0.5118012408730297,0.3076923076923077,1,0,True,False,False,False
c04_orig_L6v04,original.java,compared.java,1,ir_plag,0.7150933791926756,0.4117647058823529,1,0,True,False,False,False
01b911ac_a195911e,01b911ac.java,a195911e.java,0,conplag,0.3939792476764435,0.4105960264900662,0,0,True,True,True,False
175201f9_9399204d,175201f9.java,9399204d.java,0,conplag,0.5157505943345829,0.42526315789473684,1,0,False,True,False,False
c06_orig_L3v04,original.java,compared.java,1,ir_plag,0.5684942197036512,0.591304347826087,1,1,True,True,True,False
43b85d63_a37923d1,43b85d63.java,a37923d1.java,0,conplag,0.3216480197921731,0.3556701030927835,0,0,True,True,True,False
ba8800f5_d8e4eb5e,ba8800f5.java,d8e4eb5e.java,0,conplag,0.3416098883512624,0.3416666666666667,0,0,True,True,True,False
c03_orig_L3v08,original.java,compared.java,1,ir_plag,0.7499173925210415,0.35294117647058826,1,0,True,False,False,False
4f7af821_f870e76b,4f7af821.java,f870e76b.java,0,conplag,0.5584048791212399,0.4236453201970443,1,0,False,True,False,False
597195ee_5f3a196a,597195ee.java,5f3a196a.java,1,conplag,0.5564780712242847,0.4698544698544699,1,1,True,True,True,False
1d43139f_fdd41565,1d43139f.java,fdd41565.java,0,conplag,0.49212043755748347,0.39012345679012345,1,0,False,True,False,False
d6fb3b9e_f7a0ea6d,d6fb3b9e.java,f7a0ea6d.java,0,conplag,0.6256589424425572,0.42191780821917807,1,0,False,True,False,False
d1cd194e_dbffab11,d1cd194e.java,dbffab11.java,0,conplag,0.43472632764411606,0.3939393939393939,0,0,True,True,True,False
c02_orig_L4v06,original.java,compared.java,1,ir_plag,0.4222482066687745,0.358974358974359,0,0,False,False,False,True
1ea771ea_2f8c3bf3,1ea771ea.java,2f8c3bf3.java,0,conplag,0.7091094242001926,0.3900226757369615,1,0,False,True,False,False
7814575b_8cfe3ee0,7814575b.java,8cfe3ee0.java,0,conplag,0.37130054453097067,0.37168141592920356,0,0,True,True,True,False
1071f735_cd835290,1071f735.java,cd835290.java,1,conplag,0.178752060601143,0.36597938144329895,0,0,False,False,False,True
38b356b7_c77654b8,38b356b7.java,c77654b8.java,0,conplag,0.23657022108204262,0.3755274261603376,0,0,True,True,True,False
67996c4c_9028caf7,67996c4c.java,9028caf7.java,0,conplag,0.47779503843200455,0.3588621444201313,1,0,False,True,False,False
00af3420_f4d6d28d,00af3420.java,f4d6d28d.java,0,conplag,0.3938536686876049,0.3373493975903614,0,0,True,True,True,False
a3e272af_f7fc2e94,a3e272af.java,f7fc2e94.java,0,conplag,0.4219201480026246,0.30526315789473685,0,0,True,True,True,False
7686c854_abd16ff0,7686c854.java,abd16ff0.java,1,conplag,0.4027352604969137,0.46153846153846156,0,1,False,True,False,False
2a35cd81_464ad4dd,2a35cd81.java,464ad4dd.java,0,conplag,0.626086751517573,0.42105263157894735,1,0,False,True,False,False
3ff60986_d0b4b96c,3ff60986.java,d0b4b96c.java,1,conplag,1.0000000000000016,0.6159420289855072,1,1,True,True,True,False
c07_orig_L4v05,original.java,compared.java,1,ir_plag,0.7675446840673481,0.3684210526315789,1,0,True,False,False,False
d23b398c_e14d1ba0,d23b398c.java,e14d1ba0.java,1,conplag,0.8709945491762292,0.5515873015873016,1,1,True,True,True,False
6db218a2_90b71536,6db218a2.java,90b71536.java,1,conplag,0.9999999999999987,0.5603864734299517,1,1,True,True,True,False
487c9f62_54488276,487c9f62.java,54488276.java,0,conplag,0.47373737042664643,0.388646288209607,1,0,False,True,False,False
5bf01190_79b9b897,5bf01190.java,79b9b897.java,0,conplag,0.5944585260940403,0.3696682464454976,1,0,False,True,False,False
54e71b9b_fd16f5b0,54e71b9b.java,fd16f5b0.java,0,conplag,0.4551011810554587,0.3292517006802721,1,0,False,True,False,False
d8a171a3_f229aa7f,d8a171a3.java,f229aa7f.java,0,conplag,0.33366173516795167,0.3782051282051282,0,0,True,True,True,False
722e318f_ff1fc018,722e318f.java,ff1fc018.java,0,conplag,0.40928475896041083,0.42318840579710143,0,0,True,True,True,False
c06_orig_np09,original.java,compared.java,0,ir_plag,0.649263893849334,0.4864864864864865,1,1,False,False,False,True
c05_orig_L6v01,original.java,compared.java,1,ir_plag,0.3856572910616175,0.4230769230769231,0,0,False,False,False,True
c07_orig_L2v03,original.java,compared.java,1,ir_plag,0.8677843043928,0.5058823529411764,1,1,True,True,True,False
810cf242_968c1e7e,810cf242.java,968c1e7e.java,0,conplag,0.272056836361865,0.23218997361477572,0,0,True,True,True,False
161b4a40_49e94e7e,161b4a40.java,49e94e7e.java,0,conplag,0.3173326412395836,0.3429844097995546,0,0,True,True,True,False
141effef_6653a758,141effef.java,6653a758.java,0,conplag,0.5140322816319477,0.3072289156626506,1,0,False,True,False,False
c01_orig_L5v04,original.java,compared.java,1,ir_plag,0.33488461612349196,0.5581395348837209,0,1,False,True,False,False
b185d034_ccc8ef27,b185d034.java,ccc8ef27.java,0,conplag,0.6032660931009475,0.37755102040816324,1,0,False,True,False,False
c02_orig_L5v06,original.java,compared.java,1,ir_plag,0.4222482066687745,0.358974358974359,0,0,False,False,False,True
3412b353_528a6162,3412b353.java,528a6162.java,1,conplag,1.000000000000002,0.5879396984924623,1,1,True,True,True,False
c02_orig_L4v08,original.java,compared.java,1,ir_plag,0.5153752457917433,0.3963963963963964,1,0,True,False,False,False
c02_orig_np05,original.java,compared.java,0,ir_plag,0.34042766022259524,0.2782608695652174,0,0,True,True,True,False
3afcc566_d8a171a3,3afcc566.java,d8a171a3.java,0,conplag,0.25867206512267676,0.3506849315068493,0,0,True,True,True,False
c04_orig_L4v04,original.java,compared.java,1,ir_plag,0.7636184601325238,0.417910447761194,1,0,True,False,False,False
2eb89317_d4a3869e,2eb89317.java,d4a3869e.java,0,conplag,0.2535042105662249,0.32320441988950277,0,0,True,True,True,False
127af3a7_99ccaa44,127af3a7.java,99ccaa44.java,0,conplag,0.4095188412794967,0.38351822503961963,0,0,True,True,True,False
bd3051e3_e2e37533,bd3051e3.java,e2e37533.java,1,conplag,0.9999999999999994,0.5517593064762876,1,1,True,True,True,False
1dab88fb_99ccaa44,1dab88fb.java,99ccaa44.java,0,conplag,0.403914118825912,0.36867862969004894,0,0,True,True,True,False
c06_orig_L4v01,original.java,compared.java,1,ir_plag,0.6436061672118181,0.5546218487394958,1,1,True,True,True,False
403e3270_58d18fca,403e3270.java,58d18fca.java,1,conplag,0.5193533919109073,0.46774193548387094,1,1,True,True,True,False
2eb89317_fcc7e8fa,2eb89317.java,fcc7e8fa.java,0,conplag,0.22380580628023072,0.24429967426710097,0,0,True,True,True,False
49b94994_f0d91796,49b94994.java,f0d91796.java,0,conplag,0.27732422952902036,0.48639455782312924,0,1,True,False,False,False
c06_orig_np04,original.java,compared.java,0,ir_plag,0.5955315694654002,0.35398230088495575,1,0,False,True,False,False
c01_orig_np12,original.java,compared.java,0,ir_plag,0.409339099005673,0.2564102564102564,0,0,True,True,True,False
1a6f8b20_f6ed6826,1a6f8b20.java,f6ed6826.java,0,conplag,0.5589972123725392,0.4212962962962963,1,0,False,True,False,False
c05_orig_L4v07,original.java,compared.java,1,ir_plag,0.46369868443898327,0.4742268041237113,1,1,True,True,True,False
680ba922_6d7d5dd7,680ba922.java,6d7d5dd7.java,0,conplag,0.5840559599516385,0.31443298969072164,1,0,False,True,False,False
c01_orig_L2v04,original.java,compared.java,1,ir_plag,0.9741139206526898,0.75,1,1,True,True,True,False
6018974f_bdf7bfb2,6018974f.java,bdf7bfb2.java,0,conplag,0.4264288665592661,0.38390092879256965,0,0,True,True,True,False
2063ba3e_2ba7edb6,2063ba3e.java,2ba7edb6.java,0,conplag,0.4925824150271988,0.43956043956043955,1,0,False,True,False,False
c01_orig_L4v03,original.java,compared.java,1,ir_plag,0.9363052064204983,0.5581395348837209,1,1,True,True,True,False
c02_orig_L2v08,original.java,compared.java,1,ir_plag,0.6334644626426813,0.574468085106383,1,1,True,True,True,False
54eb12ca_949502c2,54eb12ca.java,949502c2.java,0,conplag,0.3009088044174553,0.3159509202453988,0,0,True,True,True,False
c07_orig_L3v02,original.java,compared.java,1,ir_plag,0.7009645391816609,0.5595238095238095,1,1,True,True,True,False
c06_orig_L5v09,original.java,compared.java,1,ir_plag,0.27832505916496847,0.45454545454545453,0,1,False,True,False,False
93ee4612_da5cf40b,93ee4612.java,da5cf40b.java,0,conplag,0.39838583766041924,0.3611738148984199,0,0,True,True,True,False
c03_orig_L5v09,original.java,compared.java,1,ir_plag,0.7599378347611766,0.4,1,0,True,False,False,False
b2bae06a_d4779c71,b2bae06a.java,d4779c71.java,0,conplag,0.28338830650340363,0.4201312910284464,0,0,True,True,True,False
3d88acb8_b6023b26,3d88acb8.java,b6023b26.java,0,conplag,0.34562149032469347,0.39880952380952384,0,0,True,True,True,False
a7e7f371_f8e7b886,a7e7f371.java,f8e7b886.java,0,conplag,0.4663387513518292,0.3885135135135135,1,0,False,True,False,False
4a1573d6_db8d728d,4a1573d6.java,db8d728d.java,0,conplag,0.35851263465434313,0.13314646110721795,0,0,True,True,True,False
c05_orig_np05,original.java,compared.java,0,ir_plag,0.6043736195475309,0.3564356435643564,1,0,False,True,False,False
c01_orig_L4v06,original.java,compared.java,1,ir_plag,0.35683522114024907,0.28,0,0,False,False,False,True
034030f3_9e4ddc38,034030f3.java,9e4ddc38.java,0,conplag,0.5583971484961385,0.3424657534246575,1,0,False,True,False,False
d6bbd286_fabb36ff,d6bbd286.java,fabb36ff.java,0,conplag,0.5213768802904788,0.4125874125874126,1,0,False,True,False,False
c01_orig_L6v08,original.java,compared.java,1,ir_plag,0.26856951873738466,0.26666666666666666,0,0,False,False,False,True
c06_orig_L5v07,original.java,compared.java,1,ir_plag,0.6266116349870509,0.45528455284552843,1,1,True,True,True,False
c07_orig_np05,original.java,compared.java,0,ir_plag,0.6337736923790772,0.3482587064676617,1,0,False,True,False,False
c01_orig_np14,original.java,compared.java,0,ir_plag,0.38803464718958924,0.2564102564102564,0,0,True,True,True,False
00f79486_ce0b2178,00f79486.java,ce0b2178.java,0,conplag,0.30885717906352417,0.3480392156862745,0,0,True,True,True,False
8a729537_abd16ff0,8a729537.java,abd16ff0.java,1,conplag,0.5016721173371909,0.33191489361702126,1,0,True,False,False,False
976fe834_da54dec3,976fe834.java,da54dec3.java,0,conplag,0.4031381751845726,0.2846251588310038,0,0,True,True,True,False
63bfa731_949502c2,63bfa731.java,949502c2.java,1,conplag,0.45857460212892126,0.37199124726477023,1,0,True,False,False,False
c04_orig_L2v04,original.java,compared.java,1,ir_plag,0.7664778033139161,0.4307692307692308,1,0,True,False,False,False
